dataset,model,accuracy,f1,auc
Adult,LogisticRegression,0.855980346998311,0.6745315752949341,0.909838452570108
Adult,RandomForest,0.8569015814524796,0.6819112627986348,0.9080192061657829
Churn,LogisticRegression,0.7963094393186657,0.5882352941176471,0.8402903717481722
Churn,RandomForest,0.794889992902768,0.5601217656012176,0.8231431966726085
