dataset,round,agent,features_added,accuracy,f1,auc
Adult,2,Transformation+Interaction,54,0.8608935974205435,0.6875862068965517,0.9192341522048657
Adult,2,Transformation+Interaction,54,0.8608935974205435,0.6875862068965517,0.9192341522048657
Adult,Ablation,Baseline,0,0.855980346998311,0.6745315752949341,0.909838452570108
Adult,Ablation,TransformationOnly,24,0.8622754491017964,0.6886497743838945,0.9192131301458906
Adult,Ablation,InteractionOnly,30,0.857362198679564,0.6784354447905849,0.9130759786219849
Adult,2,Transformation+Interaction,54,0.8608935974205435,0.6875862068965517,0.9192341522048657
